pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin,,,,,,,,,,,
10.4,2,11.8,0.2,1,1,17.07298344,-9.75E-30,,,,,,,,,,,
10.3,2,11.8,0.2,1,1,17.00672356,1.45E-31,,,,,,,,,,,
10.2,2,11.8,0.2,1,1,16.94052024,1.02E-30,,,,,,,,,,,
10.4,2,11.7,0.2,1,1,17.04003076,-2.35E-29,,,,,,,,,,,
10.3,2,11.7,0.2,1,1,16.97297935,-2.47E-28,,,,,,,,,,,
10.2,2,11.7,0.2,1,1,16.90604286,-1.18E-28,,,,,,,,,,,
10.5,2,11.6,0.2,1,1,17.0764876,1.18E-27,,,,,,,,,,,
10.4,2,11.6,0.2,1,1,17.00851702,1.17E-27,,,,,,,,,,,
10.3,2,11.6,0.2,1,1,16.94064966,-2.62E-26,,,,,,,,,,,
10.5,2,11.5,0.2,1,1,17.04734931,1.18E-27,,,,,,,,,,,
10.4,2,11.5,0.2,1,1,16.97853415,5.52E-30,,,,,,,,,,,
10.3,2,11.5,0.2,1,1,16.90983955,3.76E-27,,,,,,,,,,,
10.6,2,11.4,0.2,1,1,17.08943766,-2.36E-30,,,,,,,,,,,
10.5,2,11.4,0.2,1,1,17.01966226,-3.81E-28,,,,,,,,,,,
10.4,2,11.4,0.2,1,1,16.95004679,-2.69E-28,,,,,,,,,,,
10.6,2,11.3,0.2,1,1,17.06437166,7.25E-28,,,,,,,,,,,
10.5,2,11.3,0.2,1,1,16.99369038,-2.76E-30,,,,,,,,,,,
10.4,2,11.3,0.2,1,1,16.92313632,1.55E-29,,,,,,,,,,,
10.6,2,11.2,0.2,1,1,17.04086834,-5.31E-29,,,,,,,,,,,
10.5,2,11.2,0.2,1,1,16.96932032,2.47E-30,,,,,,,,,,,
10.7,2,11.1,0.2,1,1,17.0917936,-1.57E-27,,,,,,,,,,,
10.6,2,11.1,0.2,1,1,17.01917007,9.31E-28,,,,,,,,,,,
10.5,2,11.1,0.2,1,1,16.94666731,-1.13E-31,,,,,,,,,,,
10.7,2,11,0.2,1,1,17.07282995,1.05E-27,,,,,,,,,,,
10.6,2,11,0.2,1,1,16.99926905,-5.15E-30,,,,,,,,,,,
10.5,2,11,0.2,1,1,16.92570592,-3.60E-30,,,,,,,,,,,
10.7,2,10.9,0.2,1,1,17.05570199,1.14E-27,,,,,,,,,,,
10.6,2,10.9,0.2,1,1,16.98117403,1.14E-27,,,,,,,,,,,
10.5,2,10.9,0.2,1,1,16.90677188,1.94E-27,,,,,,,,,,,
10.7,2,10.8,0.2,1,1,17.04061045,1.52E-26,,,,,,,,,,,
10.6,2,10.8,0.2,1,1,16.96507229,1.08E-29,,,,,,,,,,,
10.7,2,10.7,0.2,1,1,17.0275424,-7.03E-31,,,,,,,,,,,
10.6,2,10.7,0.2,1,1,16.95099433,-1.21E-25,,,,,,,,,,,
10.8,2,10.6,0.2,1,1,17.09455284,-3.41E-28,,,,,,,,,,,
10.7,2,10.6,0.2,1,1,17.01670322,3.04E-27,,,,,,,,,,,
10.6,2,10.6,0.2,1,1,16.93900434,-5.07E-31,,,,,,,,,,,
10.8,2,10.5,0.2,1,1,17.08689419,-7.02E-29,,,,,,,,,,,
10.7,2,10.5,0.2,1,1,17.00795729,9.02E-32,,,,,,,,,,,
10.6,2,10.5,0.2,1,1,16.92906261,4.51E-28,,,,,,,,,,,
10.8,2,10.4,0.2,1,1,17.08154519,4.42E-29,,,,,,,,,,,
10.7,2,10.4,0.2,1,1,17.00147331,1.17E-27,,,,,,,,,,,
10.6,2,10.4,0.2,1,1,16.92154867,-8.57E-31,,,,,,,,,,,
10.8,2,10.3,0.2,1,1,17.0784901,-4.82E-28,,,,,,,,,,,
10.7,2,10.3,0.2,1,1,16.99737816,-1.22E-29,,,,,,,,,,,
10.6,2,10.3,0.2,1,1,16.91618733,-7.47E-29,,,,,,,,,,,
10.8,2,10.2,0.2,1,1,17.07815171,4.75E-28,,,,,,,,,,,
10.7,2,10.2,0.2,1,1,16.99572678,8.13E-28,,,,,,,,,,,
10.6,2,10.2,0.2,1,1,16.91345622,-4.93E-28,,,,,,,,,,,
10.8,2,10.1,0.2,1,1,17.08019148,-9.54E-28,,,,,,,,,,,
10.7,2,10.1,0.2,1,1,16.9965305,6.43E-28,,,,,,,,,,,
10.6,2,10.1,0.2,1,1,16.91312276,7.74E-26,,,,,,,,,,,
10.8,2,10,0.2,1,1,17.08512222,-4.09E-29,,,,,,,,,,,
10.7,2,10,0.2,1,1,17.00019564,-3.95E-29,,,,,,,,,,,
10.6,2,10,0.2,1,1,16.91543937,4.81E-32,,,,,,,,,,,
10.8,2,9.9,0.2,1,1,17.09264188,9.97E-28,,,,,,,,,,,
10.7,2,9.9,0.2,1,1,17.00654354,-1.35E-29,,,,,,,,,,,
10.6,2,9.9,0.2,1,1,16.92048631,1.77E-29,,,,,,,,,,,
10.7,2,9.8,0.2,1,1,17.01566943,-8.03E-25,,,,,,,,,,,
10.6,2,9.8,0.2,1,1,16.92836709,2.18E-28,,,,,,,,,,,
10.7,2,9.7,0.2,1,1,17.02791503,3.74E-29,,,,,,,,,,,
10.6,2,9.7,0.2,1,1,16.9390886,9.19E-31,,,,,,,,,,,
10.7,2,9.6,0.2,1,1,17.04324472,-2.98E-29,,,,,,,,,,,
10.6,2,9.6,0.2,1,1,16.9531241,1.12E-29,,,,,,,,,,,
10.7,2,9.5,0.2,1,1,17.06181151,-4.71E-30,,,,,,,,,,,
10.6,2,9.5,0.2,1,1,16.97027627,-2.44E-30,,,,,,,,,,,
10.7,2,9.4,0.2,1,1,17.08397634,4.58E-30,,,,,,,,,,,
10.6,2,9.4,0.2,1,1,16.99080648,1.10E-27,,,,,,,,,,,
10.6,2,9.3,0.2,1,1,17.01467641,1.54E-30,,,,,,,,,,,
10.5,2,9.3,0.2,1,1,16.92025749,1.10E-28,,,,,,,,,,,
10.6,2,9.2,0.2,1,1,17.04248007,-4.37E-30,,,,,,,,,,,
10.5,2,9.2,0.2,1,1,16.9462175,-6.29E-29,,,,,,,,,,,
10.6,2,9.1,0.2,1,1,17.07384619,1.50E-30,,,,,,,,,,,
10.5,2,9.1,0.2,1,1,16.9761978,3.64E-29,,,,,,,,,,,
10.5,2,9,0.2,1,1,17.00996343,-7.89E-32,,,,,,,,,,,
10.4,2,9,0.2,1,1,16.91071799,1.89E-21,,,,,,,,,,,
10.5,2,8.9,0.2,1,1,17.04787464,8.44E-28,,,,,,,,,,,
10.4,2,8.9,0.2,1,1,16.9467146,-8.73E-31,,,,,,,,,,,
10.5,2,8.8,0.2,1,1,17.08997912,-1.48E-28,,,,,,,,,,,
10.4,2,8.8,0.2,1,1,16.98710023,-1.16E-33,,,,,,,,,,,
10.4,2,8.7,0.2,1,1,17.03209288,4.88E-31,,,,,,,,,,,
10.3,2,8.7,0.2,1,1,16.92758959,8.60E-30,,,,,,,,,,,
10.4,2,8.6,0.2,1,1,17.08146954,-3.35E-28,,,,,,,,,,,
10.3,2,8.6,0.2,1,1,16.97516715,1.41E-29,,,,,,,,,,,
10.3,2,8.5,0.2,1,1,17.02755356,-6.55E-31,,,,,,,,,,,
10.2,2,8.5,0.2,1,1,16.91936447,-1.59E-28,,,,,,,,,,,
10.3,2,8.4,0.2,1,1,17.08487907,3.52E-29,,,,,,,,,,,
10.2,2,8.4,0.2,1,1,16.97465933,-5.90E-30,,,,,,,,,,,
10.2,2,8.3,0.2,1,1,17.03534933,-3.18E-28,,,,,,,,,,,
10.1,2,8.3,0.2,1,1,16.92321502,-3.46E-30,,,,,,,,,,,
10.1,2,8.2,0.2,1,1,16.98708472,-3.87E-31,,,,,,,,,,,
10,2,8.1,0.2,1,1,16.94033293,-1.71E-29,,,,,,,,,,,
10,2,8,0.2,1,1,17.01348581,-4.14E-30,,,,,,,,,,,
10,2,7.9,0.2,1,1,17.09278927,-6.91E-29,,,,,,,,,,,
9.9,2,7.9,0.2,1,1,16.9719127,2.51E-29,,,,,,,,,,,
9.9,2,7.8,0.2,1,1,17.05536985,-9.70E-31,,,,,,,,,,,
9.8,2,7.8,0.2,1,1,16.93222779,9.84E-29,,,,,,,,,,,
9.8,2,7.7,0.2,1,1,17.01971446,2.08E-28,,,,,,,,,,,
9.7,2,7.6,0.2,1,1,16.98613008,-3.17E-29,,,,,,,,,,,
9.7,2,7.5,0.2,1,1,17.08524787,1.24E-25,,,,,,,,,,,
9.6,2,7.5,0.2,1,1,16.95446483,-2.23E-30,,,,,,,,,,,
9.6,2,7.4,0.2,1,1,17.05840559,3.45E-29,,,,,,,,,,,
9.5,2,7.4,0.2,1,1,16.92528533,-2.53E-28,,,,,,,,,,,
9.5,2,7.3,0.2,1,1,17.03419851,-1.68E-30,,,,,,,,,,,
9.4,2,7.2,0.2,1,1,17.01236781,-2.18E-28,,,,,,,,,,,
9.3,2,7.1,0.2,1,1,16.99328122,-2.35E-28,,,,,,,,,,,
9.2,2,7,0.2,1,1,16.97694958,-6.60E-29,,,,,,,,,,,
9.1,2,6.9,0.2,1,1,16.9634162,-2.68E-32,,,,,,,,,,,
