pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin,,,,,,,,
6.3,2,14.7,0.1,1,1,17.0072712,-2.38E-28,,,,,,,,
6.2,2,14.7,0.1,1,1,16.95968897,-1.76E-18,,,,,,,,
6.1,2,14.7,0.1,1,1,16.91216425,-1.03E-28,,,,,,,,
6.6,2,14.6,0.1,1,1,17.07191588,4.29E-28,,,,,,,,
6.5,2,14.6,0.1,1,1,17.02376571,-3.73E-28,,,,,,,,
6.4,2,14.6,0.1,1,1,16.97567401,1.12E-27,,,,,,,,
6.3,2,14.6,0.1,1,1,16.92764077,8.84E-28,,,,,,,,
6.8,2,14.5,0.1,1,1,17.09108989,-1.37E-28,,,,,,,,
6.7,2,14.5,0.1,1,1,17.04242177,-4.23E-28,,,,,,,,
6.6,2,14.5,0.1,1,1,16.99380709,2.20E-29,,,,,,,,
6.5,2,14.5,0.1,1,1,16.94525615,5.51E-29,,,,,,,,
6.9,2,14.4,0.1,1,1,17.06329831,-1.05E-29,,,,,,,,
6.8,2,14.4,0.1,1,1,17.0141534,-2.01E-27,,,,,,,,
6.7,2,14.4,0.1,1,1,16.96506937,3.34E-30,,,,,,,,
6.6,2,14.4,0.1,1,1,16.91605011,-1.35E-28,,,,,,,,
7.1,2,14.3,0.1,1,1,17.08647862,1.35E-27,,,,,,,,
7,2,14.3,0.1,1,1,17.03678385,3.71E-30,,,,,,,,
6.9,2,14.3,0.1,1,1,16.98715345,-7.40E-32,,,,,,,,
6.8,2,14.3,0.1,1,1,16.93758802,-3.05E-30,,,,,,,,
7.2,2,14.2,0.1,1,1,17.06176754,2.67E-28,,,,,,,,
7.1,2,14.2,0.1,1,1,17.01158274,-2.90E-30,,,,,,,,
7,2,14.2,0.1,1,1,16.9614605,1.09E-27,,,,,,,,
6.9,2,14.2,0.1,1,1,16.91140297,1.09E-27,,,,,,,,
7.4,2,14.1,0.1,1,1,17.08916424,-3.21E-28,,,,,,,,
7.3,2,14.1,0.1,1,1,17.03841128,7.81E-22,,,,,,,,
7.2,2,14.1,0.1,1,1,16.9877205,-3.87E-27,,,,,,,,
7.1,2,14.1,0.1,1,1,16.93710041,3.69E-28,,,,,,,,
7.5,2,14,0.1,1,1,17.067725,6.06E-29,,,,,,,,
7.4,2,14,0.1,1,1,17.01645434,1.15E-27,,,,,,,,
7.3,2,14,0.1,1,1,16.96524992,-3.88E-27,,,,,,,,
